round,week,person,artist,title,genre,year,Decade,Mins,Group,EDA,Origin,Gender,POC,double,note
4,37,SF,Suburban Legends,Dance Like Nobody's Watching,Pop Rock,2006,2000s,23,1,0,USA,M,0,0,
4,36,MJ,House of Protection,GALORE,Rock,2024,2020s,20,1,0,USA,M,1,0,
4,35,RW,Dolly Parton,Jolene,Country,1974,1970s,25,0,0,USA,F,0,0,
4,34,JP,The Backseat Lovers,Elevator Days,Rock,2018,2010s,20,1,0,USA,M,0,0,
4,33,TL,Funeral for a Friend,Seven Ways to Scream Your Name,Post-hardcore,2003,2000s,28,1,0,GBR,M,0,0,
4,32,RS,Fightstar,They Liked You Better When You Were Dead,Rock,2005,2000s,25,1,0,GBR,M,1,0,
4,31,MT,Parcels,Hideout,Pop,2017,2010s,22,1,0,AUS,M,0,0,
4,30,WS,Devil Sold His Soul,Belong ╪ Betray,Metalcore,2014,2010s,29,1,0,GBR,M,0,0,
4,29,RL,Bad Rabbits,Stick Up Kids,Pop,2009,2000s,22,1,0,USA,M,1,0,
3,28,SF,Foo Fighters,Foo Fighters,Rock,1995,1990s,44,1,1,USA,M,1,0,
3,27,RS,Alien Ant Farm,truANT,Rock,2003,2000s,41,1,0,USA,M,0,0,
3,26,MJ,Talking Heads,Remain in Light,New Wave,1980,1980s,40,1,0,USA,MF,0,0,
3,25,RW,Griff,Vertigo,Pop,2024,2020s,44,0,0,GBR,F,1,0,
3,24,JP,Childish Gambino,Bando Stone & The New World,Hip Hop,2024,2020s,60,0,0,USA,M,1,0,
3,23,TL,Chicane,Giants,Dance,2010,2010s,68,0,0,GBR,M,0,0,
3,22,MT,Tom Misch,Geography,Alternative,2018,2010s,52,0,0,GBR,M,0,0,
3,21,WS,Sleep Token,Take Me Back to Eden,Metal,2023,2020s,64,1,0,GBR,M,0,0,
3,20,RL,Joe Satriani,Surfing with the Alien,Rock,1987,1980s,38,0,0,USA,M,0,0,
2,19,RS,The Wildhearts,Earth vs the Wildhearts,Rock,1993,1990s,49,1,0,GBR,M,1,1,double
2,18,RS,Beartooth,The Surface,Metalcore,2023,2020s,37,1,0,USA,M,0,1,double
2,17,SF,As December Falls,As December Falls,Rock,2019,2010s,49,1,1,GBR,FM,0,0,
2,16,MJ,MisterWives,Our Own House,Pop Rock,2015,2010s,41,1,0,USA,FM,0,0,
2,15,RW,Live,Throwing Copper,Rock,1994,1990s,60,1,0,USA,M,0,0,
2,14,JP,Post Malone,Hollywood's Bleeding,Hip Hop,2019,2010s,51,0,0,USA,M,0,0,
2,13,TL,Grimes,Art Angels,Pop,2015,2010s,50,0,0,CAN,F,0,0,
2,12,MT,IDLES,Joy as an Act of Resistance,Punk,2018,2010s,42,1,0,GBR,M,0,0,
2,11,WS,Every Time I Die,Radical,Metalcore,2021,2020s,51,1,0,USA,M,0,0,
2,10,RL,Sigur Rós,( ),Post Rock,2002,2000s,72,1,0,ISL,M,0,0,
1,9,SF,Newton Faulkner,Hand Built by Robots,Pop Rock,2007,2000s,48,0,0,GBR,M,0,0,
1,8,RS,Linkin Park,The Hunting Party,Rock,2014,2010s,45,1,0,USA,M,1,0,
1,7,MJ,Electric Six,Fire,Rock,2003,2000s,38,1,0,USA,M,0,0,
1,6,RW,Tracy Chapman,Tracy Chapman,Roots Rock,1988,1980s,36,0,1,USA,F,1,0,
1,5,JP,Kendrick Lamar,Mr. Morale & the Big Steppers,Hip Hop,2022,2020s,73,0,0,USA,M,1,0,
1,4,TL,Talk Talk,The Colour of Spring,New Wave,1986,1980s,46,1,0,GBR,M,0,0,
1,3,MT,Jungle,Volcano,Electronic,2023,2020s,44,1,0,GBR,M,0,0,
1,2,WS,The Black Queen,Fever Daydream,Electronic,2016,2010s,43,1,0,USA,M,0,0,
1,1,RL,M83,Before the Dawn Heals Us,Electronic,2005,2000s,61,1,0,FRA,MF,0,0,
